Artist,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Url_youtube,Title
Linkin Park,0.585,0.972,9,-4.45,0.0534,0.0143,0,0.0707,0.585,110.006,230253,https://www.youtube.com/watch?v=dxytyRy-O1k,BURN IT DOWN [Official Music Video] - Linkin Park
Radiohead,0.515,0.43,7,-9.935,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640,https://www.youtube.com/watch?v=XFkzRNyygfk,Radiohead - Creep
Radiohead,0.255,0.393,5,-10.654,0.0278,0.0577,0.00361,0.113,0.118,76.426,229120,https://www.youtube.com/watch?v=u5CVsCnxyXg,Radiohead - No Surprises
Radiohead,0.36,0.501,7,-9.129,0.0258,0.0638,9.32E-05,0.172,0.324,74.807,264067,https://www.youtube.com/watch?v=1uYWYWPc9HU,Radiohead - Karma Police
Radiohead,0.419,0.383,4,-11.782,0.0256,0.0724,0.0176,0.0896,0.35,87.568,257480,https://www.youtube.com/watch?v=AG6H5i1x5A0,Radiohead -  High & Dry -  American Version [OFFICIAL MUSIC VIDEO]
Radiohead,0.293,0.276,4,-11.357,0.0349,0.224,0.122,0.167,0.195,121.603,267187,https://www.youtube.com/watch?v=Bf01riuiJWA,Exit Music (For A Film)
Radiohead,0.531,0.61,11,-8.025,0.0387,0.772,0.756,0.0908,0.199,152.958,318187,https://www.youtube.com/watch?v=TNRCvG9YtYI,Radiohead - Weird Fishes -  by Tobias Stretch
Radiohead,0.462,0.832,11,-6.085,0.0479,0.108,0.00416,0.0741,0.807,165.653,248893,https://www.youtube.com/watch?v=GoLJJRIWCLU,Radiohead - Jigsaw Falling Into Place
Radiohead,0.463,0.229,2,-12.592,0.0297,0.167,0.0997,0.202,0.135,73.543,290707,https://www.youtube.com/watch?v=n5h0qHwNrHk,Radiohead - Fake Plastic Trees
Radiohead,0.291,0.767,7,-6.913,0.0862,0.000401,0.012,0.0763,0.359,175.702,234800,https://www.youtube.com/watch?v=oIFLtNYI3Ls,Radiohead - Just
Radiohead,0.516,0.342,4,-9.785,0.0342,0.832,0.579,0.0857,0.167,128.378,255387,https://www.youtube.com/watch?v=BbWBRnDK_AE,Radiohead - Nude
AC/DC,0.574,0.913,6,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,208400,https://www.youtube.com/watch?v=l482T0yNkeo,AC/DC - Highway to Hell (Official Video)
AC/DC,0.502,0.89,4,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880,https://www.youtube.com/watch?v=v2AC41dglnM,AC/DC - Thunderstruck (Official Video)
AC/DC,0.31,0.7,9,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,https://www.youtube.com/watch?v=pAgnJDJN4VA,AC/DC - Back In Black (Official Video)
AC/DC,0.532,0.767,7,-5.509,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173,https://www.youtube.com/watch?v=Lo2qQmj0_h4,AC/DC - You Shook Me All Night Long (Official Video)
AC/DC,0.754,0.759,9,-5.218,0.302,0.153,0.000108,0.101,0.435,126.366,214667,https://www.youtube.com/watch?v=44XYEeD1A1U,"AC/DC - T.N.T. (Live At River Plate, December 2009)"
AC/DC,0.389,0.873,4,-4.768,0.0475,0.00532,0.0055,0.273,0.303,106.767,312293,https://www.youtube.com/watch?v=etAIpkdhU9Q,AC/DC - Hells Bells (Official Video)
AC/DC,0.668,0.906,11,-4.881,0.17,0.214,0.00245,0.135,0.507,135.653,231933,https://www.youtube.com/watch?v=jsjdjWGDvFk,AC/DC - Dirty Deeds Done Dirt Cheap (Official Audio)
AC/DC,0.457,0.904,2,-5.303,0.0747,0.000239,0.0879,0.396,0.48,141.038,317427,https://www.youtube.com/watch?v=xRQnJyP77tY,AC/DC - Shoot To Thrill (Iron Man 2 Version)
AC/DC,0.456,0.863,3,-3.551,0.0894,0.133,0.0538,0.0553,0.532,135.962,301227,https://www.youtube.com/watch?v=j9Z39Uqybcw,AC/DC - It's a Long Way to the Top (If You Wanna Rock 'n' Roll) (Official Video)
AC/DC,0.547,0.931,2,-2.356,0.0615,0.000998,0.0118,0.278,0.697,118.4,261507,https://www.youtube.com/watch?v=FrFvNphZ5BQ,AC/DC - Rock N Roll Train (Official Video)
Black Eyed Peas,0.744,0.766,0,-6.375,0.0265,0.0873,0,0.509,0.61,127.966,289133,https://www.youtube.com/watch?v=uSD4vsh1zDA,The Black Eyed Peas - I Gotta Feeling (Official Music Video)
Black Eyed Peas,0.831,0.868,11,-5.282,0.0325,0.176,0,0.184,0.483,131.971,194438,https://www.youtube.com/watch?v=me19SUmWu2s,"Black Eyed Peas, Shakira, David Guetta - DON'T YOU WORRY (Official Music Video)"
Black Eyed Peas,0.834,0.699,5,-3.222,0.178,0.111,0,0.131,0.809,94.086,272533,https://www.youtube.com/watch?v=WpYeekQkAdc,The Black Eyed Peas - Where Is The Love? (Official Music Video)
Black Eyed Peas,0.659,0.628,0,-8.685,0.179,0.186,0,0.105,0.262,94.05,219427,https://www.youtube.com/watch?v=OrTyD7rjBpw,The Black Eyed Peas - Just Can't Get Enough (Official Music Video)
Black Eyed Peas,0.965,0.485,2,-8.784,0.191,0.0206,0.0237,0.0655,0.312,124.025,222523,https://www.youtube.com/watch?v=vMLk_T0PPbk,"Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)"
Black Eyed Peas,0.649,0.931,1,-3.15,0.181,0.0093,0,0.751,0.744,153.645,213067,https://www.youtube.com/watch?v=ZaI2IlHwmgQ,The Black Eyed Peas - Pump It (Official Music Video)
Black Eyed Peas,0.66,0.942,4,-2.273,0.185,0.00789,1.76E-05,0.834,0.543,126.017,158571,https://www.youtube.com/watch?v=H7qR7xvKFEU,TiÃ«sto & Black Eyed Peas - Pump It Louder (Official Video)
Black Eyed Peas,0.798,0.629,11,-6.857,0.0735,0.00474,2.29E-05,0.324,0.4,130.002,284373,https://www.youtube.com/watch?v=I7HahVwYpwo,The Black Eyed Peas - Meet Me Halfway (Official Music Video)
Black Eyed Peas,0.732,0.716,10,-6.968,0.0561,0.0295,0.000758,0.73,0.666,105.093,214855,https://www.youtube.com/watch?v=EzKkl64rRbM,"Black Eyed Peas, J Balvin - RITMO (Bad Boys For Life) (Official Music Video)"
Black Eyed Peas,0.872,0.789,1,-6.047,0.132,0.203,2.39E-05,0.125,0.646,126.042,236190,https://www.youtube.com/watch?v=AbNOhZ1rsG8,"Black Eyed Peas, Anitta, El Alfa - SIMPLY THE BEST (Official Music Video)"
Michael Jackson,0.932,0.457,11,-9.62,0.0541,0.0173,0.0436,0.0414,0.884,117.002,294227,https://www.youtube.com/watch?v=Zi_XLOBDo_Y,Michael Jackson - Billie Jean (Official Video)
Michael Jackson,0.608,0.756,7,-2.675,0.176,0.0784,0,0.187,0.55,176.086,245507,https://www.youtube.com/watch?v=xaYSqjvZjTs,Michael Jackson - Chicago
Michael Jackson,0.776,0.711,3,-9.03,0.0473,0.0242,0.000353,0.234,0.901,138.728,258400,https://www.youtube.com/watch?v=oRdxUFDoQe0,Michael Jackson - Beat It (Official 4K Video)
Michael Jackson,0.853,0.981,8,-3.947,0.0751,0.247,0.468,0.306,0.595,118.193,257760,https://www.youtube.com/watch?v=q8w1d01Y2vY,Michael Jackson - Smooth Criminal (Single Version) HD
Michael Jackson,0.808,0.535,1,-12.521,0.0353,0.179,9.91E-05,0.158,0.848,114.031,220627,https://www.youtube.com/watch?v=5X-Mrc2l1d0,Michael Jackson - Rock With You (Official Video)
Michael Jackson,0.878,0.821,11,-9.875,0.089,0.126,0.0461,0.183,0.947,118.881,365467,https://www.youtube.com/watch?v=yURRmWtbTbo,Michael Jackson - Donâ€™t Stop 'Til You Get Enough (Official Video)
Michael Jackson,0.859,0.905,0,-5.539,0.129,0.205,0.00837,0.322,0.731,89.946,284160,https://www.youtube.com/watch?v=QNJL6nfu__Q,Michael Jackson - They Donâ€™t Care About Us (Brazil Version) (Official Video)
Michael Jackson,0.831,0.921,5,-2.383,0.0582,0.153,0.00224,0.305,0.795,108.002,239227,https://www.youtube.com/watch?v=LeiFF0gvqcc,Michael Jackson - Remember The Time (Official Video)
Michael Jackson,0.877,0.854,1,-4.523,0.147,0.0544,5.50E-05,0.144,0.54,114.472,298120,https://www.youtube.com/watch?v=HzZ_urpj4As,Michael Jackson - The Way You Make Me Feel (Official Video)
Michael Jackson,0.775,0.719,7,-6.212,0.0435,0.132,1.79E-06,0.0662,0.712,117.513,246027,https://www.youtube.com/watch?v=oG08ukJPtR8,"Michael Jackson, Justin Timberlake - Love Never Felt So Good (Official Video)"
P!nk,0.778,0.547,2,-7.273,0.0489,0.346,0.000302,0.132,0.441,95.002,242733,https://www.youtube.com/watch?v=OpQFFLBMEPI,P!nk - Just Give Me A Reason ft. Nate Ruess
P!nk,0.668,0.802,5,-4.005,0.0917,0.0273,0,0.163,0.769,113.796,225789,https://www.youtube.com/watch?v=iqYK79jCssA,P!NK - Never Gonna Not Dance Again (Official Video)
P!nk,0.7,0.709,7,-5.006,0.0838,0.0048,0,0.029,0.624,122.019,202960,https://www.youtube.com/watch?v=XjVNlG5cZyQ,P!nk - Raise Your Glass (Official Video)
P!nk,0.674,0.628,2,-7.079,0.03,0.00144,0,0.0944,0.552,103.998,247907,https://www.youtube.com/watch?v=yTCDVfMz15M,P!nk - Try (Official Video)
P!nk,0.534,0.87,11,-3.078,0.0425,0.000334,0,0.241,0.462,126.019,215160,https://www.youtube.com/watch?v=FJfFZqTlWrQ,P!nk - So What (Official Video)
P!nk,0.491,0.588,1,-6.177,0.0506,0.0281,2.01E-06,0.0906,0.193,113.608,269600,https://www.youtube.com/watch?v=ClU3fctbGls,P!NK - What About Us (Official Video)
P!nk,0.473,0.592,5,-6.859,0.138,0.0528,0,0.131,0.292,159.7,138573,https://www.youtube.com/watch?v=vGZhMIXH62M,"P!NK, Willow Sage Hart - Cover Me In Sunshine (Official Video)"
P!nk,0.636,0.888,8,-3.889,0.0945,0.00162,0.000216,0.147,0.25,122.032,237200,https://www.youtube.com/watch?v=D2KE2a5qo0g,P!NK - TRUSTFALL (Official Video)
P!nk,0.688,0.734,9,-4.569,0.0274,0.00462,0,0.0756,0.46,140.004,208493,https://www.youtube.com/watch?v=NJWIbIe0N90,P!nk - Who Knew (Official Video)
P!nk,0.457,0.823,9,-4.76,0.311,0.00144,0,0.108,0.578,192.205,230733,https://www.youtube.com/watch?v=zsmUOdmm02A,P!nk - True Love (Official Video) ft. Lily Allen
Eminem,0.637,0.678,0,-3.798,0.266,0.209,0,0.156,0.254,84.039,250760,https://www.youtube.com/watch?v=S9bCLPwzSC0,Eminem - Mockingbird [Official Music Video]
Eminem,0.908,0.669,7,-2.827,0.0738,0.00286,0,0.237,0.662,112.238,290320,https://www.youtube.com/watch?v=YVkUvmDQ3HY,Eminem - Without Me (Official Music Video)
Eminem,0.949,0.661,5,-4.244,0.0572,0.0302,0,0.0454,0.76,104.504,284200,https://www.youtube.com/watch?v=eJO5HU_7_1w,Eminem - The Real Slim Shady (Official Video - Clean Version)
Eminem,0.802,0.755,4,-3.138,0.0564,0.0215,0,0.295,0.58,130.027,350320,https://www.youtube.com/watch?v=8kYkciD9VjU,Eminem - Superman (Clean Version) ft. Dina Rae
Eminem,0.548,0.847,1,-3.237,0.186,0.0622,0,0.0816,0.1,171.447,297787,https://www.youtube.com/watch?v=3m_QN8P93IA,Eminem - Till I Collapse Feat. Nate Dogg [OFFICIAL MUSIC VIDEO]
Eminem,0.78,0.768,6,-4.325,0.238,0.0371,2.34E-06,0.518,0.507,80.063,404107,https://www.youtube.com/watch?v=gOMhN-hfMtY,Eminem - Stan (Long Version) ft. Dido
Eminem,0.749,0.925,10,-5.034,0.227,0.241,0,0.52,0.641,86.989,263373,https://www.youtube.com/watch?v=uelHwf8o7_U,Eminem - Love The Way You Lie ft. Rihanna
Eminem,0.808,0.745,10,-5.26,0.342,0.145,0,0.292,0.829,165.995,210800,https://www.youtube.com/watch?v=r_0JjYUe5jo,Eminem - Godzilla ft. Juice WRLD (Directed by Cole Bennett)
Eminem,0.668,0.824,5,-4.164,0.137,0.0017,3.05E-06,0.0426,0.185,163.961,339547,https://www.youtube.com/watch?v=D4hAVemuQXY,Eminem - Sing For The Moment (Official Music Video)
Eminem,0.855,0.954,0,-1.19,0.264,0.529,0,0.205,0.668,114.635,248133,https://www.youtube.com/watch?v=j5-yKhDd64s,Eminem - Not Afraid
Pharrell Williams,0.647,0.822,5,-4.662,0.183,0.219,0,0.0908,0.962,160.019,232720,https://www.youtube.com/watch?v=C7dPqrmDWxs,Pharrell Williams - Happy (from Despicable Me 2) [Ballroom Version]
Pharrell Williams,0.851,0.819,7,-5.173,0.212,0.337,0.000153,0.0658,0.903,83.154,164041,https://www.youtube.com/watch?v=t_Jhj-gBYCs,"Pharrell Williams, Travis Scott - Down In Atlanta (Official Lyric Video)"
Pharrell Williams,0.893,0.745,11,-3.105,0.0571,0.0642,0,0.0943,0.872,101.018,223413,https://www.youtube.com/watch?v=ozv4q2ov3Mk,"Calvin Harris - Feels (Official Video) ft. Pharrell Williams, Katy Perry, Big Sean"
